% pa1
A a
塽 shuang3
塾 shu2
𪣻 lou3
墀 chi2
墁 man4
境 jing4
墅 shu4
墈 kan4
墉 yong1
垫 dian4
墐 jin3
墒 shang1
墓 mu4
増 zeng1
坠 zhui4
墝 qiao1
增 zeng1
墟 xu1
𫮃 shan4
墦 fan2
墨 mo4
墩 dun1
墫 zun1
墬 di4
堕 duo4
墰 tan2
坟 fen2
墵 tan2
墺 ao4
墙 qiang2
垦 ken3
壁 bi4
壅 yong1
壆 bo2
坛 tan2
𡒄 lan3
壊 huai4
垱 dang4
壌 rang3
壎 xun1
壑 he4
壒 ai4
压 ya1,ya4
壔 dao3
壕 hao2
壖 ruan2
垒 lei3
圹 kuang4
垆 lu2
壜 tan2
壝 wei3
坏 huai4
垄 long3
垅 long3
壡 rui4
坜 li4
壤 rang3
坝 ba4
塆 wan1
士 shi4
壬 ren2
壭 xx5
